epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.815461,0.92904,3.47954,1.42173,0.00282,0.84615,0.00521,0.00221,0.51773,3.92646,1.09416,2e-05,2e-05,2e-05
2,1.81548,0.61523,3.44862,1.19205,0.00256,0.76923,0.00472,0.0021,0.5328,3.88162,1.09824,5.9703e-05,5.9703e-05,5.9703e-05
3,2.78168,0.98849,3.44145,1.47247,0.00282,0.84615,0.00578,0.00243,0.50588,3.87375,1.09073,9.901e-05,9.901e-05,9.901e-05
4,3.7958,0.90142,2.73261,1.35529,0.3339,0.84615,0.54522,0.42292,0.63965,8.27857,1.09656,0.000137921,0.000137921,0.000137921
5,4.99822,1.01227,4.3004,1.37863,0.29235,0.61538,0.45797,0.26374,1.1587,8.59234,1.80489,0.000176436,0.000176436,0.000176436
6,6.15935,1.32183,3.5274,1.64434,0.16694,0.23077,0.07657,0.01707,1.16463,5.38362,1.46958,0.000214555,0.000214555,0.000214555
7,7.5559,1.28365,2.91503,1.49536,0.07765,0.30769,0.11393,0.07717,1.1011,20.6497,2.16747,0.000252278,0.000252278,0.000252278
8,8.70071,1.58327,2.65768,2.03313,0.0299,0.07692,0.01802,0.00825,1.91163,3.66306,2.11995,0.000289605,0.000289605,0.000289605
9,9.81882,1.0841,2.00823,1.43544,0.59082,0.23077,0.28156,0.19673,1.13266,3.63293,1.82897,0.000326536,0.000326536,0.000326536
10,10.9529,1.23178,1.66128,1.46149,0.29198,0.84615,0.72084,0.47612,0.9231,17.0713,1.82275,0.000363071,0.000363071,0.000363071
11,12.153,1.22305,1.6096,1.50837,0.68052,0.76923,0.76816,0.41145,1.02164,6.43433,1.88288,0.00039921,0.00039921,0.00039921
12,13.2904,0.9336,1.17426,1.40455,0.5,0.61538,0.59563,0.40128,0.93428,15.7643,1.83695,0.000434953,0.000434953,0.000434953
13,14.4036,0.98269,1.44809,1.37959,0.27192,0.53846,0.42321,0.28684,1.00673,6.84337,1.69808,0.0004703,0.0004703,0.0004703
14,15.5368,1.18402,1.51188,1.61466,0.26105,0.69231,0.57618,0.33672,0.94702,10.6017,1.71146,0.000505251,0.000505251,0.000505251
15,16.6915,1.15531,1.56109,1.57298,0.5,0.30769,0.33325,0.17686,1.39523,26.139,2.31344,0.000539806,0.000539806,0.000539806
16,17.8324,1.10095,1.38021,1.31085,1,0.15385,0.26021,0.12471,1.78507,33.9919,3.08743,0.000573965,0.000573965,0.000573965
17,18.9825,1.00522,1.72644,1.37847,0.11111,0.07692,0.0986,0.03197,2.23486,55.695,3.73051,0.000607728,0.000607728,0.000607728
18,20.0997,1.11296,1.65916,1.4394,0.03123,0.07692,0.01202,0.00613,2.75946,13.9779,5.39442,0.000641095,0.000641095,0.000641095
19,21.209,1.21052,1.74029,1.51677,0.01211,0.38462,0.00743,0.00138,3.45843,87.1961,15.5818,0.000674066,0.000674066,0.000674066
20,22.3235,1.13139,1.35384,1.33225,0.00388,0.76923,0.00396,0.0011,nan,nan,nan,0.000706641,0.000706641,0.000706641
21,23.4289,1.03119,1.4203,1.39509,0.0016,0.38462,0.00293,0.00152,nan,nan,nan,0.00073882,0.00073882,0.00073882
22,24.5397,1.30247,1.61422,1.69611,0.00048,0.07692,0.00022,9e-05,nan,nan,nan,0.000770603,0.000770603,0.000770603
